CheckId,ElementId,Category,FamilyName,TypeName,Level,ParameterName,CurrentValue,RuleId,RuleName,Severity,Status,FixGuide,DetectedAt,SourceFile,ModelName
CHK-0001,,Doors,SD,,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0002,,Doors,SD,,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0003,,Doors,SD,,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0004,,Doors,SD,,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0005,101,Doors,SD,管理用出入口,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0006,101,Doors,SD,管理用出入口,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0007,101,Doors,SD,管理用出入口,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0008,101,Doors,SD,管理用出入口,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0009,102,Doors,SD,外部階段 1F,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0010,102,Doors,SD,外部階段 1F,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0011,102,Doors,SD,外部階段 1F,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0012,102,Doors,SD,外部階段 1F,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0013,103,Doors,SD,ごみ置き場,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0014,103,Doors,SD,ごみ置き場,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0015,103,Doors,SD,ごみ置き場,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0016,103,Doors,SD,ごみ置き場,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0017,104,Doors,SD,PS,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0018,104,Doors,SD,PS,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0019,104,Doors,SD,PS,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0020,104,Doors,SD,PS,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0021,105,Doors,SD,ポンプ室,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0022,105,Doors,SD,ポンプ室,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0023,105,Doors,SD,ポンプ室,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0024,105,Doors,SD,ポンプ室,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0025,106,Doors,SD,EPS 1F,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0026,106,Doors,SD,EPS 1F,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0027,106,Doors,SD,EPS 1F,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0028,106,Doors,SD,EPS 1F,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0029,107,Doors,SD,駐車場,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0030,107,Doors,SD,駐車場,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0031,107,Doors,SD,駐車場,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0032,107,Doors,SD,駐車場,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0033,108,Doors,SD,電気室 1F,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0034,108,Doors,SD,電気室 1F,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0035,108,Doors,SD,電気室 1F,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0036,108,Doors,SD,電気室 1F,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0037,109,Doors,SD,管理人室 清掃管理人室 倉庫,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0038,109,Doors,SD,管理人室 清掃管理人室 倉庫,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0039,109,Doors,SD,管理人室 清掃管理人室 倉庫,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0040,109,Doors,SD,管理人室 清掃管理人室 倉庫,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0041,110,Doors,SD,管理用出入口附室,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0042,110,Doors,SD,管理用出入口附室,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0043,110,Doors,SD,管理用出入口附室,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0044,110,Doors,SD,管理用出入口附室,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0045,111,Doors,SD,店舗裏口,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0046,111,Doors,SD,店舗裏口,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0047,111,Doors,SD,店舗裏口,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0048,111,Doors,SD,店舗裏口,,FamilyName,SD,R-003,ファミリ命名規則違反,Medium,Open,命名規則に従い、カテゴリ・用途・識別情報が分かるファミリ名へ修正する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0049,201,Doors,SD,事務室,,BIM_ModelRole,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0050,201,Doors,SD,事務室,,BIM_Zone,,R-001,必須パラメータ未入力,High,Open,該当要素に必要な BIM_ModelRole または BIM_Zone を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
CHK-0051,201,Doors,SD,事務室,,BIM_ClassificationCode,,R-002,分類コード未入力,High,Open,分類コード表に従い、BIM_ClassificationCode を入力する,2026/5/24 19:03,door_schedule_SD_export_test_v001.txt,BIM_Quality_Check_Sample_Model_R2024_v001
